course_id,subject,course_number,prereq_subject,prereq_number
161350,MCELLBI,153,BIOLOGY,1A
161350,MCELLBI,153,MCELLBI,102
161350,MCELLBI,153,MCELLBI,C100A
161350,MCELLBI,153,CHEM,135
165038,MCELLBI,153L,MCELLBI,102
165038,MCELLBI,153L,MCELLBI,C100A
165038,MCELLBI,153L,CHEM,C130
115156,MCELLBI,180,BIOLOGY,1A
115156,MCELLBI,180,BIOLOGY,1AL
115157,MCELLBI,180C,BIOLOGY,132
115157,MCELLBI,180C,BIOLOGY,32L
115157,MCELLBI,180C,BIOLOGY,132L
166667,MCELLBI,186A,BIOLOGY,1A
166667,MCELLBI,186A,BIOLOGY,1AL
166667,MCELLBI,186A,MCELLBI,186B
115429,MCELLBI,50,BIOLOGY,1A
115429,MCELLBI,50,BIOLOGY,1AL
124445,PLANTBI,C112,BIOLOGY,1A
124406,PLANTBI,C112L,MCELLBI,C112
124406,PLANTBI,C112L,PBHLTH,162A
123822,MCELLBI,C146,BIOLOGY,1A
123822,MCELLBI,C146,BIOLOGY,1B
123822,MCELLBI,C146,DATA,C8
166641,MDGRK,100A,GREEK,1B
157821,MECENG,100,ENGIN,7
157821,MECENG,100,COMPSCI,10
157821,MECENG,100,COMPSCI,61A
157821,MECENG,100,COMPSCI,C8
157821,MECENG,100,MATH,51
157821,MECENG,100,PHYSICS,7A
115489,MECENG,102B,ENGIN,26
115489,MECENG,102B,ENGIN,29
115489,MECENG,102B,ELENG,66
115490,MECENG,104,ENGIN,7
115490,MECENG,104,COMPSCI,61A
115501,MECENG,119,PHYSICS,7B
115508,MECENG,132,MATH,53
115508,MECENG,132,MATH,54
115508,MECENG,132,PHYSICS,7A
115508,MECENG,132,PHYSICS,7B
161950,MECENG,136HL,MECENG,136
115535,MECENG,185,PHYSICS,7A
115535,MECENG,185,MATH,53
115535,MECENG,185,MATH,54
115699,MECENG,40,CHEM,1A
115699,MECENG,40,ENGIN,7
115699,MECENG,40,MATH,52
115699,MECENG,40,PHYSICS,7B
125415,BIOENG,C137,PHYSICS,7A
125415,BIOENG,C137,MATH,1A
125415,BIOENG,C137,MATH,1B
116050,MUSIC,107,MUSIC,158A
116065,MUSIC,128,MUSIC,27
116065,MUSIC,128,MUSIC,70
162638,MUSIC,150,MUSIC,52A
162638,MUSIC,150,MUSIC,90
125588,MUSIC,151A,MUSIC,25
125589,MUSIC,151B,MUSIC,53A
125584,MUSIC,151C,MUSIC,53B
116144,MUSIC,154A,MUSIC,25
116144,MUSIC,154A,MUSIC,151A
116154,MUSIC,158A,MUSIC,20A
116154,MUSIC,158A,MUSIC,25A
116154,MUSIC,158A,MUSIC,29
116158,MUSIC,161A,MUSIC,51
116158,MUSIC,161A,MUSIC,61
116158,MUSIC,161A,MUSIC,152
116158,MUSIC,161A,MUSIC,156
116165,MUSIC,165,MUSIC,116A
116165,MUSIC,165,MUSIC,116B
116165,MUSIC,165,MUSIC,164
116133,MUSIC,168A,MUSIC,141
116140,MUSIC,168H,MUSIC,149
125729,MUSIC,170,MUSIC,53B
125729,MUSIC,170,MUSIC,70
125730,MUSIC,170A,MUSIC,53B
125730,MUSIC,170A,MUSIC,70
161351,MUSIC,172,MUSIC,52B
164402,NEU,100A,BIOLOGY,1A
164402,NEU,100A,BIOLOGY,1AL
164402,NEU,100A,PHYSICS,8A
164402,NEU,100A,PHYSICS,8B
115148,NEU,100B,NEU,100A
115148,NEU,100B,MCELLBI,160
164855,NEU,110,BIOLOGY,1A
164855,NEU,110,BIOLOGY,1AL
166073,NEU,123,NEU,C61
166073,NEU,123,PSYCH,C61
166073,NEU,123,NEU,C62
166073,NEU,123,PSYCH,110
165057,NEU,128,NEU,100A
166060,NEU,151,NEU,100A
166060,NEU,151,NEU,100B
166057,NEU,163,BIOLOGY,1A
166057,NEU,163,NEU,100A
166057,NEU,163,NEU,100B
166057,NEU,163,PSYCH,110
166057,NEU,163,INTEGBI,132
166434,NEU,163C,BIOLOGY,1A
166434,NEU,163C,NEU,100A
