course,requirement_group,option_id,prerequisite
INDENG 145,1,4,INDENG 173
INDENG 150,1,1,ENGIN 120
INDENG 162,1,1,MATH 54
INDENG 162,2,1,MATH 53
INDENG 172,1,1,MATH 51
INDENG 172,2,1,MATH 52
INDENG 172,3,1,MATH 53
INFO 153A,1,1,COMPSCI 61A
INTEGBI 103LF,1,1,BIOLOGY 1A
INTEGBI 103LF,2,1,BIOLOGY 1B
INTEGBI 108,1,1,BIOLOGY 1B
INTEGBI 118,1,1,BIOLOGY 1A
INTEGBI 118,2,1,BIOLOGY 1B
INTEGBI 123,1,1,BIOLOGY 1A
INTEGBI 123,1,2,CHEM 3B
INTEGBI 123,1,3,INTEGBI 132
INTEGBI 123,1,4,MCELLBI 136
INTEGBI 131,1,1,BIOLOGY 1A
INTEGBI 131,1,2,BIOLOGY 1B
INTEGBI 131,1,3,CHEM 1A
INTEGBI 131L,1,1,BIOLOGY 131
INTEGBI 131L,1,2,BIOLOGY 1A
INTEGBI 131L,1,3,BIOLOGY 1B
INTEGBI 134L,1,1,BIOLOGY 1A
INTEGBI 134L,2,1,BIOLOGY 1B
INTEGBI 136,1,1,BIOLOGY 1B
INTEGBI 148,1,1,BIOLOGY 1A
INTEGBI 148,2,1,BIOLOGY 1B
INTEGBI 157LF,1,1,BIOLOGY 1B
INTEGBI 159,1,1,BIOLOGY 1B
INTEGBI 160,1,1,BIOLOGY 1B
INTEGBI 164L,1,1,BIOLOGY 1A
INTEGBI 164L,2,1,BIOLOGY 1B
INTEGBI 178,1,1,BIOLOGY 1B
INTEGBI 184L,1,1,BIOLOGY 1B
INTEGBI 95B,1,1,BIOLOGY 1B
PLANTBI C110L,1,1,BIOLOGY 1B
NEU C166,1,1,BIOLOGY 1A
PSYCH C113,1,1,BIOLOGY 132
PSYCH C113,1,2,BIOLOGY 138
PSYCH C113,1,3,BIOLOGY 140
PSYCH C113,1,4,BIOLOGY 148
PSYCH C113,1,5,BIOLOGY 160
ITALIAN 101,1,1,ITALIAN 4
ITALIAN 102,1,1,ITALIAN 4
ITALIAN 2,1,1,ITALIAN 1
JAPAN 100A,1,1,JAPAN 10
JAPAN 100A,1,2,JAPAN 10B
JAPAN 103,1,1,JAPAN 100
JAPAN 103,1,2,JAPAN 100B
JAPAN 103,1,3,JAPAN 100X
JAPAN 10A,1,1,JAPAN 1
JAPAN 10A,1,2,JAPAN 1B
JAPAN 120,1,1,JAPAN 10
JAPAN 120,1,2,JAPAN 10B
JAPAN 155,1,1,JAPAN 100A
JAPAN 1B,1,1,JAPAN 1A
KOREAN 100A,1,1,KOREAN 10
KOREAN 100A,1,2,KOREAN 10B
KOREAN 100AX,1,1,KOREAN 10BX
KOREAN 101,1,1,KOREAN 100B
KOREAN 101,1,2,KOREAN 100BX
KOREAN 105,1,1,KOREAN 100B
KOREAN 105,1,2,KOREAN 100BX
KOREAN 10A,1,1,KOREAN 1
KOREAN 10A,1,2,KOREAN 1B
KOREAN 111,1,1,KOREAN 102
KOREAN 111,2,1,KOREAN 101
KOREAN 120,1,1,KOREAN 10B
KOREAN 120,1,2,KOREAN 10BX
KOREAN 1B,1,1,KOREAN 1A
KOREAN 5,1,1,KOREAN 1A
KOREAN 5,1,2,KOREAN 1AX
KOREAN 5,2,1,KOREAN 10A
KOREAN 5,2,2,KOREAN 10AX
KOREAN 5,3,1,KOREAN 10A
KOREAN 5,3,2,KOREAN 10AX
LDARCH 101,1,1,LDARCH 1
LDARCH 103,1,1,LDARCH 102
LINGUIS 120,1,1,LINGUIS 100
MATH 115,1,1,MATH 55
