course_id,subject,course_number,title,description,requirements,academic_career,department
104424,COMPSCI,61A,The Structure and Interpretation of Computer Programs,"An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming paradigms, including functional, object-oriented, and declarative approaches. It includes an introduction to asymptotic analysis of algorithms. There are several significant programming projects.",MATH 1A (may be taken concurrently) or Math 10A or Math 16A. Programming experience equivalent to that gained from a score of 3 or above on the Advanced Placement Computer Science exam.,UGRD,Electrical Eng & Computer Sci
104426,COMPSCI,61B,Data Structures,"Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language. ","COMPSCI 61A, COMPSCI 88, or ENGIN 7.",UGRD,Electrical Eng & Computer Sci
104428,COMPSCI,61C,Great Ideas of Computer Architecture (Machine Structures),"The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions.","61A, along with either 61B or 61BL, or programming experience equivalent to that gained in 9C, 9F, or 9G. ",UGRD,Electrical Eng & Computer Sci
104433,COMPSCI,70,Discrete Mathematics and Probability Theory,"Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference.","Sophomore mathematical maturity, and programming experience equivalent to that gained in 3 or the Advanced Placement Computer Science A course. ",UGRD,Electrical Eng & Computer Sci
148047,DATA,C100,Principles & Techniques of Data Science,"In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction​, and decision-making.​ This class will focus on quantitative critical thinking​ and key principles and techniques needed to carry out this cycle. These include languages for transforming, querying and analyzing data; algorithms for machine learning methods including regression, classification and clustering; principles behind creating informative data visualizations; statistical concepts of measurement error and prediction; and techniques for scalable data processing.","DATA C8 or STAT 20 with a C- or better, or Pass; and COMPSCI 61A, COMPSCI/DATA C88C, or ENGIN 7 with a C- or better, or Pass; Corequisite: MATH 54, 56, 110, ELENG 66, PHYSICS 89 or equivalent linear algebra (C- or better, or Pass, required if completed prior to Data C100).",UGRD,Data Science Undergrad Studies
157126,DATA,C182,"Designing, Visualizing and Understanding Deep Neural Networks","Deep Networks have revolutionized computer vision, language technology, robotics and control. They have growing impact in many other areas of science and engineering. They do not however, follow a closed or compact set of theoretical principles. In Yann Lecun's words they require ""an interplay between intuitive insights, theoretical modeling, 
practical implementations, empirical studies, and scientific analyses."" This course attempts to cover that ground.","MATH 53, MATH 54, and COMPSCI 61B; COMPSCI 70 or STAT 134; COMPSCI 189 is recommended.",UGRD,Data Science Undergrad Studies
161885,DATA,C101,Data Engineering,"This course will cover the principles and practices of managing data at scale, with a focus on use cases in data analysis and machine learning. We will cover the entire life cycle of data management and science, ranging from data preparation to exploration, visualization and analysis, to machine learning and collaboration, with a focus on ensuring reliable, scalable operationalization.
","COMPSCI 61B, or INFO 206B, or equivalent courses in programming with a C- or better, or Pass; and COMPSCI C100 / DATA C100 / STAT C100, or COMPSCI 189, or INFO 251, or DATA 144, or equivalent upper-division course in data science with a C- or better, or Pass.",UGRD,Data Science Undergrad Studies
124567,STAT,C8,Foundations of Data Science,"Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.","This course may be taken on its own, but students are encouraged to take it concurrently with a data science connector course (numbered 88 in a range of departments).",UGRD,Statistics
125364,COMPSCI,C88C,Computational Structures in Data Science,"Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding  the structures that underlie the programs, algorithms, and languages used in data science and elsewhere.   Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming. Provides practical experience with composing larger systems through several significant programming projects.",,UGRD,Electrical Eng & Computer Sci
104452,COMPSCI,H195,Honors Social Implications of Computer Technology,Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students may lead discussions on additional topics.,,UGRD,Electrical Eng & Computer Sci
166715,DATA,C146,Foundations for Computational Precision Health,"Students will build expertise in developing machine-learning tools to address challenges in health care. The course emphasizes both “how to formulate useful computational health problems”, and “how to develop computational solutions”. On the health side, we’ll get clinical guest lectures exploring challenges across diverse areas of healthcare (e.g., cardiology, cancer, primary care). On the computational side, the course will cover machine learning and deep learning foundations, state-of-the-art neural networks, and then advanced research topics. The course will emphasize rigorous evaluation, algorithmic bias, deployment, and auditing. The class will culminate in an open-ended final project, integrating skills learned in the course.",Data C100 and Data C140,UGRD,Data Science Undergrad Studies
104537,CUNEIF,100A,Elementary Akkadian,"Akkadian was the language of literature, diplomacy, law, commerce, religion, and technical knowledge in Mesopotamia (ancient Iraq). This course offers students the fundamentals in the language and cuneiform script in which the Hammurabi Laws, the Epic of Gilgamesh, the Babylonian Creation, along with many other texts, were written. The study of Akkadian will enable students to read the classics of Akkadian literature and understand the emergence and development of the earliest writing system, cities and states, social and economic structures, and religious beliefs. This course is approved for UC Berkeley majors in Linguistics, as well as filling a requirement for the Near Eastern Civilization major. ",,UGRD,Middle Eastern Lang & Cultures
147931,CYPLAN,101,Introduction to Urban Data Analytics,"This course (1) provides a basic intro to census and economic data collection, processing, and analysis; (2) surveys forecasting and modeling techniques in planning; (3) demonstrates the uses of real-time urban data and analytics; and (4) provides a socio-economic-political context for the smart cities movement, focusing on data ethics and governance. ",Upper division standing,UGRD,City & Regional Planning
104557,CYPLAN,110,Introduction to City Planning,"Survey of city planning as it has evolved in the United States since 1800 in response to physical, social, and economic problems; major concepts and procedures used by city planners and local governments to improve the urban environment. ",Open to majors in all fields. ,UGRD,City & Regional Planning
104563,CYPLAN,113A,Economic Analysis for Planning,Introduction to economic concepts and thinking as used in planning. Micro-economic theory is reviewed and critiqued. ,,UGRD,City & Regional Planning
104566,CYPLAN,115,Urbanization in Developing Countries,"The course covers issues of development and urbanization from the era of colonialism to the era of contemporary globalization. Themes include modernization, urban informality and poverty, transnational economies, and the role of international institutions and agencies. ",,UGRD,City & Regional Planning
104570,CYPLAN,118AC,The Urban Community,"This course looks at the idea and practice of community in cities and suburbs and at the dynamics of neighborhood and community formation. Topics include urban social geography, ethnicity, and identity, residential choice behavior, the political economy of neighborhoods, planning for neighborhoods, and civic engagement. Instructors emphasize different topics. Class size limit depends on the instructor.",,UGRD,City & Regional Planning
104571,CYPLAN,119,Planning for Sustainability,"This course examines how the concept of sustainable development applies to cities and urban regions and gives students insight into a variety of contemporary urban planning issues through the sustainability lens. The course combines lectures, discussions, student projects, and guest appearances by leading practitioners in Bay Area sustainability efforts. Ways to coordinate goals of environment, economy, and equity at different scales of planning are addressed, including the region, the city, the neighborhood, and the site. ",Open to majors in all fields.,UGRD,City & Regional Planning
164830,CYPLAN,124,Sustainable Mobility,"This course focuses on sustainable mobility, with an emphasis on the long-term importance of how land development can be leveraged to improve the efficiency and effectiveness of mobility options.",,UGRD,City & Regional Planning
161877,CYPLAN,180A,Restorative Justice in Urban Planning and Policy: Towards Racial Healing & Justice in Planning,"This course seeks to provide students with a theoretical framework of restorative justice in planning and policy through a variety of critical
scholarship, media, and archives, including narrative, art, music, and film.",,UGRD,City & Regional Planning
104576,CYPLAN,190,Advanced Topics in Urban Studies,Analysis of selected topics in urban studies. Topics vary by semester.,Upper division standing. ,UGRD,City & Regional Planning
104585,CYPLAN,199,Special Study for Advanced Undergraduates,Regular meetings with faculty overseer.,Consent of instructor. ,UGRD,City & Regional Planning
104631,CYPLAN,24,Freshman Seminar,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. ",,UGRD,City & Regional Planning
104729,DANISH,1A,Beginning Danish,Students will develop the basic elements of communicative competence in both spoken and written language within a cultural context.,,UGRD,Scandinavian
158608,DATA,144,Data Mining and Analytics,"Data Mining and Analytics introduces students to practical fundamentals of data mining and emerging paradigms of data mining and machine learning with enough theory to aid intuition building. The course is project-oriented, with a project beginning in class every week. The in-class portion of the project is meant to be collaborative and a time for the instructor and GSIs to work closely with project groups to understand the objectives, help work through software logistics, and connect project work to lecture. Lectures will introduce theories, concepts, practical contexts, and algorithms. Students should expect to leave the class with hands-on, contemporary data mining skills they can confidently apply in research and industry.","Corequisite: Data/CompSci/Stat C100 (C- or better, or Pass, required if completed prior to Data 144).",UGRD,Data Science Undergrad Studies
166752,DATA,145,Evidence and Uncertainty,"When we learn about the world from data, how much can we rely on the conclusions we draw? How do we know if we could do better? This course will cover the statistical theory required to measure and control our uncertainty when we analyze large and complex modern data sets. We will use mathematical and computational lenses to examine optimality properties and error bounds. Topics include the Bayesian and frequentist paradigms, asymptotic and finite-sample methods, parametric and nonparametric techniques, causality, and multiple testing.","Math 53, Data C100, and either Data C140 or EECS 126, with a C- or better or Pass.",UGRD,Data Science Undergrad Studies
162178,DATA,188,Advanced Data Science Connector,"Designed to be taken concurrently with or after Principles and Techniques of Data Science (Data C100) or Probability for Data Science (Data C140) or both, each connector course consists of an intensive study of data science ideas in a particular field. Topics include the development of the theory of data science, the application of data science in a variety of domains, its human and social contexts, and anything else. Topics vary by field, and more than one topic may be offered in a semester.",Prerequisites or corequisites may vary depending on topic. Consult the Schedule of Classes or department website for details.,UGRD,Data Science Undergrad Studies
166638,DATA,36,Data Scholars Seminar,"Data 36 is a seminar for Data Scholars who are concurrently taking Data C8: Foundations of Data Science. Data Scholars is a cohort-model program to provide support in exploring and potentially declaring a Data Science major for students with little to no computational or statistical background prior to coming to the university. The primary role of Data 36 is to provide technical instruction to review and reinforce concepts in Data C8, in order to support Data Scholars’ individual learning and success in the Data C8 course. Data 36 also provides an introduction to the Data Science curriculum at UC Berkeley, and the overall Data Science landscape in both industry and academia.
",,UGRD,Data Science Undergrad Studies
158609,DATA,88,Data Science Connector,"Designed to be taken in conjunction with the Foundations of Data Science (COMPSCI/INFO/STAT C8) course, each connector course will flesh out data science ideas in the context of one particular field. Blending inferential thinking and computational thinking, the course relies on the increasing availability of datasets across a wide range of human endeavor, and students' natural interest in such data, to teach students to work actively with data in a field of their interest and to interpret and critique their analyses of data. Topics vary by field, and several topics will be offered each term.",Instructors may require students to enroll concurrently or have completed Data 8 (COMPSCI/STAT/INFO C8).,UGRD,Data Science Undergrad Studies
161103,DATA,88E,Economic Models,"This class aims to motivate and illustrate key concepts in economics through a series of exercises and examples that use Python Jupyter notebooks. The class covers concepts from introductory economics, microeconomic theory, econometrics, development economics, environmental economics and public economics. The course provides data science students a pathway to apply Python programming and data science concepts within the discipline of economics. The course will also gives economics students a pathway to apply programming to reinforce fundamental concepts and to advance the level of study in upper division coursework and possible thesis work.","You must have taken Data C8 or be concurrently enrolled in Data C8 to take this course. That being said, we are able to make exceptions if you have prior programming or data science experience; please email the course staff if you have any questions. Prior economics knowledge may be helpful but is not necessary.",UGRD,Data Science Undergrad Studies
167816,DATA,89,Mathematical and Graphical Foundations of Probability,"How do we reason about data using mathematical models of random events? This course will complement the computational and conceptual toolkit students develop in Data C8. Students will build the mathematical and graphical problem-solving skills needed for upper-division courses in data science. The course will integrate and rehearse key proficiencies developed in prerequisite math classes while offering a focused introduction to specific multivariate concepts expected in following courses. It will fold this practice into a narrative motivated by the introduction to reasoning with uncertainty provided by Data C8, while providing a basic foundation in probability.","Math 51/1A, N1A, 16A, or 10A, completed with a grade of C- or better, or Pass. We recommend Math 51/1A. 
Data C8 or both Stat 20 and one of CompSci 61A or Data C88C, completed with a grade of C- or better, or Pass. We recommend Data C8.",UGRD,Data Science Undergrad Studies
161177,DATA,94,Special Topics in Data Science,Topics will vary semester to semester.,,UGRD,Data Science Undergrad Studies
158326,DATA,C102,"Data, Inference, and Decisions","This course develops the probabilistic foundations of inference in data science, and builds a comprehensive view of the modeling and decision-making life cycle in data science including its human, social, and ethical implications. Topics include: frequentist and Bayesian decision-making, permutation testing, false discovery rate, probabilistic interpretations of models, Bayesian hierarchical models, basics of experimental design, confidence intervals, causal inference, Thompson sampling, optimal control, Q-learning, differential privacy, clustering algorithms, recommendation systems and an introduction to machine learning tools including decision trees, neural networks and ensemble methods.","Math 54 or 56 or 110 or Stat 89A or Physics 89 or both of ELENG 64 and ELENG 66 with a C- or better, or Pass; Data/Stat/CompSci C100 with a C- or better, or Pass; and any of EECS 126, Data/Stat C140, Stat 134, IndEng 172, Math 106 with a C- or better, or Pass. Data/Stat C140 or EECS 126 are preferred",UGRD,Data Science Undergrad Studies
157712,STS,C104D,Human Contexts and Ethics of Data - DATA/History/STS,"This course teaches you to use the tools of applied historical thinking and Science, Technology, and Society (STS) to recognize, analyze, and shape the human contexts and ethics of data. It addresses key topics such as doing ethical data science amid shifting definitions of human subjects, consent, and privacy; the changing relationship between data, democracy, and law; the role of data analytics in how corporations and governments provide public goods such as health and security to citizens; sensors, machine learning and artificial intelligence and changing landscapes of labor, industry, and city life.  It prepares you to engage as a knowledgeable and responsible citizen and professional in the varied arenas of our datafied world.",,UGRD,Sci & Tech Stds Grad Grp
122018,DATA,C131A,Statistical Methods for Data Science,"This course teaches a broad range of statistical methods that are used to solve data problems. Topics include group comparisons and ANOVA, standard parametric statistical models, multivariate data visualization, multiple linear regression, logistic regression and classification, regression trees and random forests. An important focus of the course is on statistical computing and reproducible statistical analysis. The course and lab include hands-on experience in analyzing real world data from the social, life, and physical sciences. The R statistical language is used.","DATA/COMPSCI/INFO/STAT C8 or STAT 20; and MATH 1A, MATH 51, MATH 16A, or MATH 10A/10B. Strongly recommended corequisite: STAT 33A or STAT 133.",UGRD,Data Science Undergrad Studies
148015,DATA,C140,Probability for Data Science,"An introduction to probability, emphasizing the combined use of mathematics and programming. Discrete and continuous families of distributions. Bounds and approximations. Transforms and convergence. Markov chains and Markov Chain Monte Carlo. Dependence, conditioning, Bayesian methods. Maximum likelihood, least squares prediction, the multivariate normal, and multiple regression. Random permutations, symmetry, and order statistics. Use of numerical computation, graphics, simulation, and computer algebra.","DATA/COMPSCI/INFO/STAT C8, or both STAT 20 and one of COMPSCI 61A or COMPSCI/DATA C88C with C- or better, or Pass; and one year of calculus at the level of MATH 1A-1B or MATH 51-52 or higher, with C- or better, or Pass. Corequisite: MATH 54, MATH 56, ELENG 64, MATH 110 or equivalent linear algebra (C- or better, or Pass, required if completed prior to enrollment in Data/Stat C140).",UGRD,Data Science Undergrad Studies
161108,STS,C4AC,Data and Justice,"This course engages students with fundamental questions of justice in relation to data and computing in American society. Data collection, visualization, and analysis have been entangled in the struggle for racial and social justice because they can make injustice visible, imaginable, and thus actionable. Data has also been used to oppress minoritized communities and institutionalize, rationalize, and naturalize systems of racial violence. The course examines key sites of justice involving data (such as citizenship, policing, prisons, environment, and health). Along with critical social science tools, students gain introductory experience and do collaborative and creative projects with data science using real-world data. ",,UGRD,Sci & Tech Stds Grad Grp
154859,DATA,C6,Introduction to Computational Thinking with Data Science and Society,"This foundational Data Science course combines inferential and computational thinking as applied to the fundamentals of quantitative social inquiry. Apply critical concepts and skills in computer programming to conduct quantitative social science research in various contexts, including economic outcomes, public health, environmental justice, privacy, bioethics, and social networks. Understand the process of using data for quantitative analysis and how to develop a variety of figures, combined with text, to communicate their findings. The focus is on data exploration and identifying patterns relevant to social concepts, rather than inferences and predictions. The course can serve as a precursor to Data 8: Foundations of Data Science. ",,UGRD,Data Science Undergrad Studies
125442,STAT,C88S,Probability and Mathematical Statistics in Data Science,"In this connector course we will state precisely and prove results discovered while exploring data in Data C8. Topics include: probability, conditioning, and independence; random variables; distributions and joint distributions; expectation, variance, tail bounds; Central Limit Theorem; symmetries in random permutations; prior and posterior distributions; probabilistic models; bias-variance tradeoff; testing hypotheses; correlation and the regression model.","Prerequisite: one semester of calculus at the level of Math 16A, Math 10A, Math 1A, or Math 51. Corequisite or Prerequisite: Foundations of Data Science (COMPSCI C8 / DATA C8 / INFO C8 / STAT C8).",UGRD,Statistics
104743,DEMOG,110,Introduction to Population Analysis,"Measures and methods of Demography. Life tables, fertility and nuptiality measures, age pyramids, population projection, measures of fertility control.",,UGRD,Demography
160844,DEMOG,130,"Demography of Deaths, Diseases, and Disasters","Fundamentals of demographic analysis of health and mortality with a special focus on global public health challenges including those induced by climate change. Class will focus on essential concepts from demography and public health, global and historical shifts in mortality and morbidity patterns, and the determinants of health and mortality over the life course, including environmental determinants. Students’ will develop their own research project related to health and mortality using real-world demographic data. Students will learn to interpret, construct, and calculate common demographic and public health indicators, and will develop a basic toolkit for analyzing health and mortality data. ","Introductory statistics course and some experience with a programming language (preferably R), or consent of the instructor.",UGRD,Demography
123910,SOCIOL,C126,"Sex, Death, and Data","Introduction to population issues and the field of demography, with emphasis on historical patterns of population growth and change during the industrial era. Topics covered include the demographic transition, resource issues, economic development, the environment, population control, family planning, birth control, family and gender, aging, intergenerational transfers, and international migration.",1 or 3 or 3AC or consent of instructor.,UGRD,Sociology
125732,DESINV,15,Design Methodology,"This introductory course aims to expose you to the mindset, skillset and toolset associated with design. It does so through guided applications to framing and solving problems in design, business and engineering. Specifically, you will learn approaches to noticing and observing, framing and reframing, imagining and designing, and experimenting and testing as well as for critique and reflection. You will also have a chance to apply those approaches in various sectors. This course may be used to fulfill undergraduate technical elective requirements for some College of Engineering majors; students should refer to their Engineering Student Services advisors for more details.",Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,UGRD,Design Innovation
104795,DESINV,190,Special Topics in Design Innovation,Selected topics in design innovation. This course cannot be used to complete any course or unit requirement for College of Engineering undergraduates.,Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,UGRD,Design Innovation
155196,DESINV,195,Design Innovation Lecture Series,"This lecture series exposes students to a diverse range of leaders, innovators, and concepts in design innovation. Students will learn from speakers, who will share their insights, practices, and projects from working at the intersections of design and technology innovation. ",,UGRD,Design Innovation
125733,DESINV,21,Visual Communication & Sketching,"Good ideas alone are not the key to being a great designer or innovator. Rather, it is the strong process and communication skills that will make you stand out as a design practitioner and leader. In today’s landscape of product design and innovation, great visual communicators must know how to 1) effectively and confidently sketch by hand, 2) understand and utilize the basics of visual design, and 3) tell captivating and compelling stories. This course, offered in a project-based learning format, will give participants practice and confidence in their ability to communicate visually.",Varies by topic. Check syllabus and/or Jacobs Institute website for specific prerequisites,UGRD,Design Innovation
155215,DESINV,95,Design Innovation Lecture Series,"This lecture series exposes students to a diverse range of leaders, innovators, and concepts in design innovation. Students will learn from speakers, who will share their insights, practices, and projects from working at the intersections of design and technology innovation. ",,UGRD,Design Innovation
122604,DISSTD,110,Introduction to Disability Studies,"This course focuses on the social and personal meaning of disability and chronic illness. We will explore definitions and conceptual models for the study of disability, the history of disabled people, bio-ethical perspectives, the depiction of disability in literature and the arts, public attitudes, and legal and social policies. The course will investigate the interaction of disability with social factors such as gender, sexual orientation, race, ethnicity, and class. The course is for students with and without disabilities, and may be of special interest to students preparing for careers in the health professions, education, law, architecture, social work, or gerontology. ",,UGRD,UG Interdisciplinary Studies
122605,DISSTD,112,Women and Disability,"This course explores the intersection of women's experience and the social and personal impact of disability and chronic illness on relationships, identity, employment, health, body image, sexuality, reproduction, motherhood, and aging. Explore historic and current perspectives in medicine, independent living, caregiving, insurance, benefits, law, and community activism as they intersect with disabled women and their families. Discuss ethical controversy such as prenatal screening, wrongful birth law suits, and physician-assisted suicide. Course readings draw on rich literature of disabled women's anthologies, scholarly and popular literature of disability, feminist analyses, creative writing; women's art, film, theatre.",,UGRD,UG Interdisciplinary Studies
105042,DUTCH,1,Elementary Dutch,This introduction to the Dutch language focuses on the development of basic communicative competencies (spoken and written). Students will be able to understand and use high frequency vocabulary and basic grammatical structures.  This course is not open for native speakers of Dutch.,,UGRD,German
105044,DUTCH,100,Dutch for Reading Knowledge,"This course is focused on developing reading skills in Dutch. The course is taught in English, and open to all students who want to start learning Dutch or wish to solidify their knowledge of Dutch grammar from a reader’s perspective. There is a strong emphasis on grammar, syntax, and basic Dutch vocabulary.",,UGRD,German
105046,DUTCH,110,Advanced Dutch,"This course is designed to develop and enhance oral communication skills at an advanced level, by means of conversational practice, discussion of readings, and student presentations.",2 or equivalent.  NOTE: This course is not open for native speakers of Dutch.,UGRD,German
105064,DUTCH,171AC,"From New Amsterdam to New York: Race, Culture, and Identity in New Netherland","What would it mean to begin modern American history on the island of Manhattan instead of New England? We intend to question the Anglo-American perspective on the representation of cultural identity, national identity, ethnicity, and race by constrasting the traditional foundation story of the United States with that of the 17th-century Dutch colony on Manhattan. Readings will include historical and ethnographic writings, self-representations of the different ethnic groups, and fictional accounts.",,UGRD,German
105074,DUTCH,199,Special Studies in Dutch,Consent of Instructor is required to enroll in this course.,Overall G.P.A. of 3.0. ,UGRD,German
161160,DUTCH,24,Freshman Seminar,"""Studying Abroad"".  This 1-unit freshman seminar explores all study abroad opportunities that UC Berkeley offers to its students. It answers questions about what can be gained by studying abroad and how to make it part of one’s undergraduate education at Cal. It focuses on how to develop a study abroad plan that suits academic and personal interests. Students also learn about different program options, how to select a program, application procedures, financial aid, and making the most of the study abroad experience after returning to the Berkeley campus. This is the ideal course to prepare yourself for a study abroad experience and to learn, explore, and grow in a globalizing world. 
",,UGRD,German
105086,DUTCH,H196,Honors Studies in Dutch,Supervised independent study and research course for honors students.,Advanced standing. ,UGRD,German
125735,EALANG,114,"Illness Narratives, Vulnerable Bodies","The course will introduce students to narratives about illness, disease and healing written by patients, physicians, caretakers, and others.  These narratives report an experience.  They reveal the interactions between the unfolding life of the patient and the shifting social meanings attached to illness. We will study the relationships between illness and society through readings of fiction, memoir, films, essays and graphic novels in order to understand how these varied forms of storytelling organize and give meaning to crucial questions about embodiment, disability and emergent forms of sociality enabled by our bodily vulnerabilities.",,UGRD,East Asian Lang & Culture
155868,EALANG,119,The History of Heaven,"Higher Learning begins with the study of heaven. As the source of orientation in space and time, heaven provides humanity the foundation for its knowledge and political order. To understand what knowledge is or how politics function, we need a basic understanding of the ways of heaven. This course examines the function heaven serves in the founding of order against the void in nature through the formation of conventional systems of time and space and the role heaven has played in the promulgation of governments. From a cross-cultural, interdisciplinary perspective that covers the course of Eurasian history and using primary sources in translation, we will see heaven unfold through the developments that leave us with the world we know today.",,UGRD,East Asian Lang & Culture
168502,EALANG,121,"Literary Landscapes: Space, Place, and Travel in China and Beyond","What is a “landscape” and what does it ""do""? How do landscape images and travel narratives mediate experiences of land, nature, the divine, and other peoples? How do landscapes map one's own place in the world, shaping individual subjects, cultural identities and real geographic spaces? This course explores such questions by examining landscape representation in Chinese, Japanese, and Euro-American traditions. We will closely consider selections drawn from such genres as poetry, prose description, fiction, travel narrative, maps, painting, photography and film, and consider how they both reflect and shape the topography of human experience.",,UGRD,East Asian Lang & Culture
167904,EALANG,161,The East Asian Ghost Story,"“Words have no power to impress the mind without the exquisite horror of their reality,” wrote Edgar Allan Poe. But we know that words can never hurt us because ghosts do not exist, don’t we? Don’t we??? This course will approach the narrative form of the “strange tale” or chuánqí from its origins in 14 th century China through its adaptations in medieval Korea and Japan before exploring how it merges with folktales from across East Asia to produce the modern, vernacular genre of horror we recognize in literature and film today. Perhaps not all the stories we encounter will frighten, but all are sure to fascinate. Readings will be provided digitally on our bCourses site aside from those texts required for individual purchase.",,UGRD,East Asian Lang & Culture
147996,EALANG,R1B,Reading and Composition on topics in East Asian Humanities,"The arts of reading a text, summarizing its argument, questioning its suppositions, generating balanced opinions, and expressing those opinions with clarity and effectiveness lie at the center of university life and educated human endeavor.  EA Lang R1B is designed to help inculcate those skills, paying particular attention to East Asian humanistic topics. This four-unit course focuses on how to formulate questions and hone observations into well reasoned, coherent, and convincing essays.  Attention will be paid to the basic rules of grammar,  logical construction, compelling rhetorical approaches, research techniques, library and database skills, and forms of citation.  ","Previously passed an R_A course	with a letter grade of C- or better.
Previously passed an articulated R_A course with a letter grade	of C- or better.
Score a 4 on the Advanced Placement Exam in English Literature and Composition.
Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.
Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English.",UGRD,East Asian Lang & Culture
105168,ECON,1,Introduction to Economics,A survey of economics designed to give an overview of the field. ,,UGRD,Economics
105169,ECON,100A,Microeconomics,"This course introduces students to the main tools and concepts of microeconomics. These tools and concepts will serve as a foundation for many upper level economics courses. Topics covered include consumer theory, producer theory, equilibrium in a competitive market, monopoly, general equilibrium, and asymmetric information. This course makes use of calculus. Topics covered are similar to those in 101A. ","Econ 1 or 2 or C3, or Environmental Economics and Policy 1, and Mathematics 51 (Calculus) or 16A (Analytic Geometry and Calculus), and Mathematics 52 or 16B, or equivalent.",UGRD,Economics
105170,ECON,100B,Macroeconomics,"This course introduces students to the main approaches economists use to describe how the economy works at the aggregate level. Topics covered include economic growth, business cycles, the determinants of aggregate employment, unemployment, and inflation, and the effects of monetary and fiscal policy. This course makes use of calculus. Topics covered are similar to those in 101B. ","Econ 1 or 2, and Mathematics 51 (Calculus) or 16A (Analytic Geometry and Calculus)",UGRD,Economics
105171,ECON,101A,Microeconomics (Quantitative),"This course introduces students to the main tools and concepts of microeconomics. These tools and concepts will serve as a foundation for many upper level economics courses. Topics covered include consumer theory, producer theory, equilibrium in a competitive market, monopoly, general equilibrium, game theory, and asymmetric information. Topics covered are similar to those in 100A, but this course uses calculus more intensively and is intended for students seeking a more mathematical approach.","Econ 1 or 2, Mathematics 53 or equivalent or consent of instructor.",UGRD,Economics
105172,ECON,101B,Macroeconomics (Quantitative),"This course introduces students to the main approaches economists use to describe how the economy works at the aggregate level. Topics covered include economic growth, business cycles, the determinants of aggregate employment, unemployment, and inflation, and the effects of monetary and fiscal policy. Topics covered are similar to those in 100B, but this course uses calculus more intensively and is intended for students seeking a more mathematical approach.","Econ 1 or 2, and Mathematics 51 and 52 (Calculus).",UGRD,Economics
105179,ECON,109,Introduction to Political Economy,"This course will provide a broad introduction to political economy, going over both theoretical and empirical questions as well as research methods. The class will also introduce students to historical political economy and comparative political economy. The class will cover a wide range of topics: collective choice, voting behavior, turnout, disenfranchisement, civil rights, candidates’ and politicians’ behavior and accountability, political selection, money and politics, climate and politics, protests, news media and social media, and institutions. ","Econ 1 or 2, and Math 51 and 52",UGRD,Economics
105186,ECON,119,Psychology and Economics,"This course presents psychological and experimental economics research demonstrating departures from perfect rationality, self-interest, and other classical assumptions of economics and explores ways that these departures can be mathematically modeled and incorporated into mainstream positive and normative economics. The course will focus on the behavioral evidence itself, especially on specific formal assumptions that capture the findings in a way that can be incorporated into economics. The implications of these new assumptions for theoretical and empirical economics will be explored.",100A or 101A. ,UGRD,Economics
105187,ECON,121,Industrial Organization and Public Policy,"The organization and structure of production in the U.S. economy. Determinants of market structure, business behavior, and economic performance. Implications for antitrust policy.",100A or 101A. ,UGRD,Economics
