course_id,subject,course_number,title,description,requirements,academic_career,department,department_nicknames,typically_offered
107263,EPS,109,Computer Simulations with Jupyter Notebooks,"Introduction to modern computer simulation methods and their application to selected Earth and Planetary Science problems. In hands-on computer labs, students will learn about numerical algorithms, learn to program and modify provided programs, and display the solution graphically. This is an introductory course and no programming experience is required. Examples include fractals in geophysics, properties of materials at high pressure, celestial mechanics, and diffusion processes in the Earth. Topics range from ordinary and partial differential equations to molecular dynamics and Monte Carlo simulations. ",Math 1A or equivalent. ,UGRD,Earth & Planetary Science,,
107265,EPS,115,Stratigraphy and Earth History,"Collecting, analyzing, and presenting stratigraphic data; dating and correlating sedimentary rocks; recognizing ancient environments and reconstructing Earth history; seismic and sequence stratigraphy; event stratigraphy and neocatastrophism; applications of stratigraphy to climate change, petroleum geology, and archaeology.","50, 100A, 100B, or consent of instructor. ",UGRD,Earth & Planetary Science,,
107266,EPS,116,Structural Geology and Tectonics,Introduction to the geometry and mechanics of brittle and ductile geologic structures; their origins and genetic relation to stress fields and their use as kinematic indicators; case histories of selected regions to elucidate tectonic evolution in different plate tectonic settings. Laboratory exercises will focus on analysis of hand specimens and structural relations portrayed on geologic maps. Several trips to observe geologic structures in the field to supplement laboratory exercises.,50,UGRD,Earth & Planetary Science,,
107267,EPS,117,Geomorphology,"Quantitative examination of landforms, runoff generation, weathering, mechanics of soil erosion by water and wind, mass wasting, glacial and periglacial processes and hillslope evolution.",Consent of instructor. ,UGRD,Earth & Planetary Science,,
107271,EPS,122,Physics of the Earth and Planetary Interiors,"Gravity field, density distribution, and internal seismic structure of the Earth and planets. Constitution, composition, temperature distribution, and energetics of the Earth's interior. The geomagnetic field and the geodynamo, and concepts in seismic imaging and geophysical fluid dynamics. This course welcomes physics, computer science, engineering and applied maths majors.","Physics 7A-B, Mathematics 53-54, or equivalent.",UGRD,Earth & Planetary Science,,
168795,EPS,126,The Earth’s Energy and Mineral Resources: Geoscience Concepts and Challenges,"The Earth’s crust hosts invaluable resources such as fuels, geothermal energy and
critical minerals. This course will review these resources, introduce geoscience and
geoengineering concepts for locating and utilizing them, and summarize some of the
substantial and fascinating challenges for doing so effectively. This course provides
students from different disciplines a broad technical background and some practical
experience of multidisciplinary research for better use of the Earth’s resources.",,UGRD,Earth & Planetary Science,,
107274,EPS,131,Geochemistry,"Chemical reactions in geological processes. Thermodynamic methods for predicting chemical equilibria in nature. Isotopic and chemical tracers of transport processes in the earth. Chemistry of the solid earth, oceans, and atmosphere.","100A-100B, Chemistry 1A-1B. ",UGRD,Earth & Planetary Science,,
107276,EPS,150,Case Studies in Earth Systems,"Analysis and discussion of three research problems on the interactions of solid earth, hydrologic, chemical, and atmospheric processes. Emphasis is on the synthesis and application of the student's disciplinary knowledge to a new integrative problem in the earth sciences.","50, senior standing or consent of instructor. ",UGRD,Earth & Planetary Science,,
168799,EPS,177,Geophysical Methods for Shallow Ground Investigations,"This seminar explores case histories of geophysical methods for shallow ground investigations. Topics include using geophysics to characterize soil profiles, rockhead, slope/retaining wall stability, water leakage, and buried contaminants. The course covers selecting, instrumenting, and possible limitations of techniques like ground-penetrating radar, seismic wave spectral analysis, electrical imaging, microgravity, gamma spectroscopy, and infrared thermography.",,UGRD,Earth & Planetary Science,,
107280,EPS,197,Field Study,Written proposal signed by faculty sponsor and approved by major faculty advisor. Supervised experience relevant to specific aspects of students' EPS specialization in off-campus organization. Regular meetings with faculty sponsor and written report required.,Upper division standing and declared major in Earth and Planetary Science.,UGRD,Earth & Planetary Science,,
107282,EPS,199,Supervised Independent Study and Research,Enrollment is restricted by regulations.,,UGRD,Earth & Planetary Science,,
107285,EPS,200,Problems in Hydrogeology,"Current problems in fluid flow, heat flow, and solute transport in the earth. Pressure- and thermal-driven flow, instability, convection, interaction between fluid flow and chemical reactions. Pore pressure; faulting and earthquakes; diagenesis; hydrocarbon migration and trapping; flow-associated mineralization; contaminant problems.","Physics 7A-7B, Chemistry 1A-1B, Math 53 and 54; open to senior undergraduates with appropriate prerequisites. ",GRAD,Earth & Planetary Science,,
107292,EPS,207,Laboratory in Observational Seismology,"Group problem solving of current seismological topics. Analysis, inversion, and numerical modeling of seismic waveform data to investigate questions regarding the physics of the earthquake source and seismic wave propagation. Application of current developments and techniques in seismological research.",121 or 130 or 204 or consent of instructor. ,GRAD,Earth & Planetary Science,,
166722,EPS,215,Geomorphology,"Quantitative examination of landforms, runoff generation, weathering, mechanics of soil erosion by water and wind, mass wasting, glacial and periglacial processes and hillslope evolution as well as principles of scientific writing and communication.",,GRAD,Earth & Planetary Science,,
107300,EPS,216,Active Tectonics,"This course is a graduate course designed to introduce students in the earth sciences to the geology of earthquakes, including tectonic geomorphology, paleoseismology and the analysis and interpretation of geodetic measurements of active deformation. While the focus will be primarily on seismically active faults, we will also discuss deformation associated with landslides, regional isostatic rebound, and volcanoes, as well as measurements of global plate motions. We will address methods and applications in paleoseismology, tectonic geomorphology, and geodesy. The course will address measurement techniques (e.g,. GPS, leveling, etc.), data analysis and inversion, and subsequent modeling and interpretation of the data. The integration of geodetic measurements with geologic and seismologic data allows an improved understanding of active processes.","116 or equivalent, Physics 7A or equivalent, or consent of instructor.",GRAD,Earth & Planetary Science,,
107304,EPS,220,Advanced Concepts in Mineral Physics,A combined seminar and lecture course covering advanced topics related to mineral physics. The interface between geophysics with the other physical sciences is emphasized. Topics vary each semester.,Consent of instructor. ,GRAD,Earth & Planetary Science,,
107306,EPS,225,Topics in High-Pressure Research,"Analysis of current developments and techniques in experimental and theoretical high-pressure research, with applications in the physical sciences. Topics vary each semester.",Consent of instructor. ,GRAD,Earth & Planetary Science,,
107307,EPS,229,Introduction to Climate Modeling,"This course emphasizes the fundamentals of the climate system via a hierarchy of climate models. Topics will include energy balance, numerical techniques, climate observations, atmospheric and oceanic circulation and heat transports, and parameterizations of eddy processes. The model hierarchy will also explore nonlinear and stochastic processes, and biogeochemistry. Students will build computational models to investigate climate feedbacks, climate sensitivity, and response times.",,GRAD,Earth & Planetary Science,,
107308,EPS,230,Radiation and Its Interactions with Climate,"Introduction to role of radiative processes in structure and evolution of the climate system. Electromagnetism; solar and terrestrial radiation; interactions of radiation with Earth's atmosphere, ocean, and land surface; greenhouse and runaway greenhouse effects; radiative balance of the climate system; energy-balance climate models; effects of clouds and aerosols; interactions of radiation with atmospheric and oceanic dynamics; radiative processes and paleoclimate; radiative processes and anthropogenic global warming.","Physics 105, 110A, 110B. ",GRAD,Earth & Planetary Science,,
107312,EPS,236,Geological Fluid Mechanics,"An advanced course in the application of fluid mechanics in the earth sciences, with emphasis on the design and scaling of laboratory and numerical models. Principals of inviscid and viscous fluid flow; dynamic similarity; boundary layers; convection; instabilities; gravity currents; mixing and chaos; porous flow. Applications to mantle convection, magma dynamics, atmosphere and ocean dynamics, sediment/debris flows, and hydrogeology. Topics may vary from year to year.",Continuum/fluid mechanics at the level of 108 or consent of instructor. ,GRAD,Earth & Planetary Science,,
